Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YDR127W	63.234	67.2369	77.5116	63.701	29.5298	32.8086	25.9628	21.0927	58.1905	52.117	63.2182	50.3486	24.3041	23.7039	22.6631	22.3871
YLR085C	26.3304	9.56767	17.4011	12.1473	7.07605	9.1076	7.32733	1.71717	11.4577	11.0315	16.8773	8.19785	9.9569	12.8103	3.36636	7.43316
YAR015W	6.97828	3.80354	7.90588	3.86323	56.2604	50.689	43.6937	24.5753	9.10984	4.38548	11.5019	4.34531	26.3885	50.9261	42.8245	44.3248
YER029C	54.9258	7.48439	15.5567	15.2037	36.902	42.747	0	16.1193	8.96291	25.8885	7.54423	17.1009	20.7703	26.7225	26.3336	5.81465
YOL019W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YIR029W	0	0	0	3.31487	0	0	0	0	3.90838	0	0	3.72852	2.26428	0	0	0
YEL055C	9.96614	7.24278	10.35	8.276	29.4614	31.0253	21.494	20.1486	6.50519	6.2632	7.3007	3.10291	23.8685	33.9411	23.5723	26.0246
YDR161W	5.12301	2.79232	2.90199	0	46.8098	47.8448	38.4925	34.0786	3.34393	0	14.0732	0	29.0591	62.3111	37.3338	34.7098
YBR121C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YOR382W	11.0435	36.1157	12.5114	48.91	71.2278	57.2984	46.0982	17.2851	57.667	41.6414	12.1348	55.0133	66.8177	10.7457	50.8289	37.4112
