ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YDL003W	S000002161	MCD1	0.65	4.66	10.9	0.00312	0.0151
YEL048C	S000000774	TCA17	0.65	3.3	5.51	0.0275	0.0844
YDR417C	S000002825	NA	0.65	1.23	1.01	0.327	0.506
YDR161W	S000002568	ACL4	0.65	5.9	20.3	1.32e-4	0.0011
YJL177W	S000003713	RPL17B	0.65	9.56	36.4	2.6e-6	4.17e-5
YIL133C	S000001395	RPL16A	0.65	9.93	24.2	4.55e-5	4.61e-4
YOR094W	S000005620	ARF3	0.65	4.08	12.1	0.00183	0.00979
YPL056C	S000005977	LCL1	0.65	0.552	1.44	0.241	0.407
YBL068W	S000000164	PRS4	0.65	6.14	28.7	1.49e-5	1.8e-4
YIL037C	S000001299	PRM2	0.65	-0.722	0.286	0.597	0.739
YDR252W	S000002660	BTT1	0.65	1.39	2.69	0.114	0.239
YMR131C	S000004738	RRB1	0.64	7.57	34.9	3.61e-6	5.39e-5
YCR086W	S000000682	CSM1	0.64	3.09	10.1	0.00392	0.018
YPR013C	S000006217	CMR3	0.64	4.28	16.1	4.83e-4	0.00329
YNL067W	S000005011	RPL9B	0.64	8.82	28.4	1.58e-5	1.89e-4
YPL016W	S000005937	SWI1	0.64	6.1	21.4	9.8e-5	8.71e-4
YKR099W	S000001807	BAS1	0.64	4.93	10.2	0.00373	0.0173
YHR169W	S000001212	DBP8	0.64	5.29	10.6	0.00341	0.0161
YHL001W	S000000993	RPL14B	0.64	8.85	31	8.51e-6	1.12e-4
YNR060W	S000005343	FRE4	0.64	7.09	3.82	0.0685	0.167
YNL151C	S000005095	RPC31	0.64	5.44	21.6	9.31e-5	8.34e-4
YNL111C	S000005055	CYB5	0.63	6.92	29	1.35e-5	1.65e-4
YDL228C	S000002387	NA	0.63	1.59	1.57	0.222	0.383
YPL212C	S000006133	PUS1	0.63	6.03	25.6	3.19e-5	3.47e-4
YLR449W	S000004441	FPR4	0.63	6.93	8.76	0.0084	0.0333
YGR091W	S000003323	PRP31	0.63	4.03	17	3.6e-4	0.00262
YDR312W	S000002720	SSF2	0.63	4.66	7.08	0.0136	0.0487
YOR331C	S000005858	NA	0.63	0.184	0.83	0.371	0.55
YBR156C	S000000360	SLI15	0.63	3.36	5.39	0.0293	0.0883
YJL010C	S000003547	NOP9	0.63	6.24	25.5	3.27e-5	3.54e-4
YDL031W	S000002189	DBP10	0.63	6.67	22.2	7.79e-5	7.27e-4
YLR401C	S000004393	DUS3	0.63	5.97	18.7	2.13e-4	0.00166
YPR048W	S000006252	TAH18	0.63	5.27	33.9	4.49e-6	6.5e-5
YOL121C	S000005481	RPS19A	0.62	9.09	21.6	9.19e-5	8.27e-4
YIL019W	S000001281	FAF1	0.62	4.42	3.4	0.107	0.229
YHR052W	S000001094	CIC1	0.62	7.05	21.4	9.88e-5	8.73e-4
YNL308C	S000005252	KRI1	0.62	5.79	6.05	0.0247	0.0782
YAL034W-A	S000000032	MTW1	0.62	2.7	4.51	0.0438	0.12
YBL024W	S000000120	NCL1	0.62	7.6	33.1	5.31e-6	7.49e-5
YHL028W	S000001020	WSC4	0.62	2.14	5.24	0.0308	0.0917
YOL144W	S000005504	NOP8	0.62	4.74	7.94	0.00982	0.0376
YDR207C	S000002615	UME6	0.62	4.85	16.4	4.39e-4	0.00305
YJL047C-A	S000028804	NA	0.62	1.55	1.79	0.193	0.348
YIL145C	S000001407	PAN6	0.62	5.52	30.4	9.83e-6	1.25e-4
YNR054C	S000005337	ESF2	0.62	4.36	11.6	0.00225	0.0115
YOR312C	S000005839	RPL20B	0.62	10.2	36.9	2.36e-6	3.8e-5
YCR098C	S000000695	GIT1	0.62	3.56	4.48	0.0445	0.121
YOR195W	S000005721	SLK19	0.61	3.93	8.02	0.00901	0.0353
YNL313C	S000005257	EMW1	0.61	6.82	31.3	8e-6	1.07e-4
YKL216W	S000001699	URA1	0.61	6.34	16.8	3.77e-4	0.00272
YKR024C	S000001732	DBP7	0.61	5.72	10.1	0.00422	0.0191
YOL165C	S000005525	AAD15	0.61	0.548	1.6	0.217	0.378
YLR448W	S000004440	RPL6B	0.61	9.5	30.9	8.68e-6	1.13e-4
YER159C	S000000961	BUR6	0.61	3.89	6.96	0.0146	0.0512
YOL146W	S000005506	PSF3	0.61	3.42	10.4	0.00348	0.0164
YPL177C	S000006098	CUP9	0.61	5.75	20.9	1.12e-4	9.69e-4
YLR211C	S000004201	ATG38	0.61	1.72	2.37	0.136	0.272
YMR229C	S000004842	RRP5	0.61	8.34	30.8	8.92e-6	1.15e-4
YNL164C	S000005108	IBD2	0.61	3.87	12.5	0.00162	0.00877
YCL037C	S000000542	SRO9	0.61	6.54	28.8	1.45e-5	1.76e-4
YER112W	S000000914	LSM4	0.61	5.18	10.5	0.00379	0.0176
YDR025W	S000002432	RPS11A	0.6	10.1	26.8	2.34e-5	2.65e-4
YOR077W	S000005603	RTS2	0.6	1.47	2.46	0.129	0.262
YOR293W	S000005819	RPS10A	0.6	9.81	31.9	6.96e-6	9.44e-5
YDR144C	S000002551	MKC7	0.6	7.96	39.3	1.44e-6	2.47e-5
YDL209C	S000002368	CWC2	0.6	3.08	7.48	0.0113	0.0421
YPR099C	S000006303	NA	0.6	0.502	1.14	0.296	0.468
YLR108C	S000004098	NA	0.59	5.23	10.8	0.00331	0.0158
YOR078W	S000005604	BUD21	0.59	4.65	5.9	0.0246	0.0778
YNL075W	S000005019	IMP4	0.59	5.5	14.6	7.87e-4	0.00486
YNL097C	S000005041	PHO23	0.59	3.87	8.25	0.00816	0.0325
YNL166C	S000005110	BNI5	0.59	4.31	7.77	0.0104	0.0393
YGL263W	S000003232	COS12	0.59	4.92	15	6.8e-4	0.00432
YGL177W	S000003145	NA	0.59	-0.414	0.394	0.536	0.691
YPL079W	S000006000	RPL21B	0.59	9.93	29.3	1.26e-5	1.55e-4
YHR149C	S000001192	SKG6	0.59	5.52	16.6	4.04e-4	0.00287
YCR057C	S000000653	PWP2	0.59	7.26	20.5	1.27e-4	0.00108
YNL248C	S000005192	RPA49	0.59	7.26	23.1	6.19e-5	5.92e-4
YMR042W	S000004645	ARG80	0.59	3.69	7.98	0.00915	0.0357
YCR047C	S000000643	BUD23	0.59	4.88	11.1	0.00272	0.0135
YAL025C	S000000023	MAK16	0.59	6.04	7.24	0.0145	0.0511
YMR076C	S000004681	PDS5	0.59	5.14	12.5	0.00161	0.00872
YPL099C	S000006020	INA17	0.59	3.14	7.51	0.0111	0.0418
YPL071C	S000005992	NA	0.59	2.53	5.29	0.03	0.0899
YLR061W	S000004051	RPL22A	0.59	9.74	35.4	3.22e-6	4.87e-5
YJL190C	S000003726	RPS22A	0.59	10.4	24.4	4.31e-5	4.41e-4
YJL109C	S000003645	UTP10	0.58	8.43	31.7	7.23e-6	9.78e-5
YML063W	S000004528	RPS1B	0.58	11	23.6	5.32e-5	5.26e-4
YCR024C-B	S000028818	NA	0.58	8.51	6.53	0.0211	0.069
YDR447C	S000002855	RPS17B	0.58	9.22	31.1	8.28e-6	1.09e-4
YGR189C	S000003421	CRH1	0.58	8.41	24.8	3.89e-5	4.08e-4
YLR194C	S000004184	NCW2	0.58	5.3	22.1	8.06e-5	7.48e-4
YCR024C-A	S000000619	PMP1	0.58	5.67	1.37	0.264	0.433
YJL148W	S000003684	RPA34	0.58	5.97	11.2	0.00287	0.0141
YJL122W	S000003658	ALB1	0.58	5.9	13.2	0.00124	0.00704
YKL183W	S000001666	LOT5	0.58	4.44	14.5	7.98e-4	0.00492
YKL040C	S000001523	NFU1	0.58	4.81	22.1	7.95e-5	7.41e-4
YLR363W-A	S000007620	NA	0.58	3.49	6.12	0.0205	0.0676
YDR501W	S000002909	PLM2	0.58	3.04	6.9	0.0145	0.0512
YGL076C	S000003044	RPL7A	0.58	10.7	26.6	2.43e-5	2.74e-4
YOR355W	S000005882	GDS1	0.58	8.42	27.6	1.93e-5	2.26e-4
YHR204W	S000001247	MNL1	0.58	6.5	20.6	1.23e-4	0.00104
YDR075W	S000002482	PPH3	0.58	3.71	10.4	0.00342	0.0162
YDR480W	S000002888	DIG2	0.57	3.03	6.74	0.0156	0.054
YEL040W	S000000766	UTR2	0.57	10.2	23.8	5.05e-5	5.06e-4
YMR001C-A	S000028691	NA	0.57	-0.604	0.624	0.437	0.609
YDR500C	S000002908	RPL37B	0.57	9.43	24.9	3.78e-5	3.98e-4
YML061C	S000004526	PIF1	0.57	4.83	10.7	0.00325	0.0155
YLR344W	S000004336	RPL26A	0.57	9.01	25.5	3.27e-5	3.54e-4
YJL179W	S000003715	PFD1	0.57	3.73	8.74	0.0067	0.0278
YNR074C	S000005357	AIF1	0.57	5.08	16.4	4.29e-4	0.00302
YPL019C	S000005940	VTC3	0.57	8.36	30.9	8.85e-6	1.15e-4
YBR152W	S000000356	SPP381	0.57	1.89	2.92	0.0999	0.218
YMR108W	S000004714	ILV2	0.57	8.98	29.5	1.22e-5	1.51e-4
YPL130W	S000006051	SPO19	0.57	0.179	0.757	0.392	0.57
YER038C	S000000840	KRE29	0.57	3.3	9.46	0.00501	0.022
YGR096W	S000003328	TPC1	0.57	3.36	7.13	0.0131	0.0476
YGR123C	S000003355	PPT1	0.57	6.52	29.9	1.11e-5	1.39e-4
YLR048W	S000004038	RPS0B	0.57	11.1	17	3.62e-4	0.00264
YCR060W	S000000656	TAH1	0.57	2.45	3.97	0.0574	0.148
YLR372W	S000004364	ELO3	0.56	9.18	17.1	3.47e-4	0.00255
YLR222C	S000004212	UTP13	0.56	6.77	21.4	9.89e-5	8.73e-4
YPL160W	S000006081	CDC60	0.56	9.22	29.1	1.32e-5	1.61e-4
YNL102W	S000005046	POL1	0.56	5.43	16	4.87e-4	0.00331
YER131W	S000000933	RPS26B	0.56	9.47	22.1	8.1e-5	7.51e-4
YER082C	S000000884	UTP7	0.56	6.15	8.99	0.0069	0.0284
YJR011C	S000003772	NA	0.56	2.83	6.34	0.0185	0.0621
YGR187C	S000003419	HGH1	0.56	6.13	15.3	6.17e-4	0.00399
YDR087C	S000002494	RRP1	0.56	5.4	8.96	0.00636	0.0267
YML093W	S000004558	UTP14	0.56	6.19	7.85	0.0112	0.042
YIL104C	S000001366	SHQ1	0.56	4.44	8.64	0.00699	0.0287
YOR166C	S000005692	SWT1	0.56	4.64	15.1	6.62e-4	0.00423
YOR184W	S000005710	SER1	0.56	7.68	31.2	8.25e-6	1.09e-4
YAL037W	S000000035	NA	0.56	1.28	1	0.326	0.505
YGR157W	S000003389	CHO2	0.56	9.45	25.8	3.05e-5	3.35e-4
YJL199C	S000003735	MBB1	0.56	1.52	2	0.169	0.317
YDL158C	S000002317	NA	0.56	2.7	3.54	0.0717	0.172
YMR159C	S000004769	ATG16	0.56	0.856	1.27	0.27	0.44
YFL004W	S000001890	VTC2	0.56	7.38	34.8	3.66e-6	5.46e-5
YDL059C	S000002217	RAD59	0.56	1.7	2.59	0.12	0.249
YBR258C	S000000462	SHG1	0.56	2.21	3.77	0.0634	0.158
YFL017W-A	S000002965	SMX2	0.56	2.41	5.17	0.0318	0.0939
YGR065C	S000003297	VHT1	0.56	4.91	15.1	6.53e-4	0.00419
YKR013W	S000001721	PRY2	0.56	6.9	12.2	0.00208	0.0108
YNL272C	S000005216	SEC2	0.55	5.77	26	2.89e-5	3.2e-4
YHR148W	S000001191	IMP3	0.55	4.65	7.24	0.0128	0.0467
YDR540C	S000002948	IRC4	0.55	2.98	3.92	0.0589	0.15
YNL193W	S000005137	NA	0.55	4.52	12.5	0.00159	0.00864
YOR096W	S000005622	RPS7A	0.55	10.3	20.4	1.31e-4	0.00109
YGL209W	S000003177	MIG2	0.55	3.71	0.77	0.391	0.568
YER032W	S000000834	FIR1	0.55	5.3	14	9.47e-4	0.00565
YLR040C	S000004030	AFB1	0.55	-0.571	0.325	0.574	0.723
YDR418W	S000002826	RPL12B	0.55	10.3	26.7	2.39e-5	2.7e-4
YNL247W	S000005191	NA	0.55	7.58	27.3	2.08e-5	2.39e-4
YLR432W	S000004424	IMD3	0.55	8.49	20.8	1.17e-4	0.001
YJR063W	S000003824	RPA12	0.55	5.75	21	1.1e-4	9.56e-4
YLR153C	S000004143	ACS2	0.55	10	21.3	9.92e-5	8.74e-4
YBR186W	S000000390	PCH2	0.55	0.104	0.601	0.446	0.615
YBR154C	S000000358	RPB5	0.55	6.55	12.7	0.00165	0.00891
YDR365C	S000002773	ESF1	0.55	6.16	7.31	0.013	0.0473
YOR046C	S000005572	DBP5	0.54	7.18	25.6	3.14e-5	3.44e-4
YML026C	S000004488	RPS18B	0.54	10.1	23.1	6.08e-5	5.83e-4
YBR079C	S000000283	RPG1	0.54	8.75	22.3	7.6e-5	7.11e-4
YPR093C	S000006297	ASR1	0.54	1.76	3.21	0.0851	0.196
YGR128C	S000003360	UTP8	0.54	6.81	20	1.46e-4	0.00119
YLR336C	S000004328	SGD1	0.54	5.72	13	0.00137	0.00763
YBL035C	S000000131	POL12	0.54	4.76	9.41	0.00516	0.0226
YDR165W	S000002572	TRM82	0.54	6.77	19.5	1.71e-4	0.00137
YDL083C	S000002241	RPS16B	0.54	10.1	23.3	5.72e-5	5.61e-4
YOR375C	S000005902	GDH1	0.54	10.1	20.2	1.37e-4	0.00113
YOL010W	S000005370	RCL1	0.54	5.95	18.4	2.34e-4	0.0018
YPL227C	S000006148	ALG5	0.54	5.63	24.7	4e-5	4.15e-4
YHR143W-A	S000001185	RPC10	0.54	4.04	3.18	0.0911	0.204
YJR112W	S000003873	NNF1	0.54	2.49	2.57	0.122	0.251
YJR148W	S000003909	BAT2	0.54	7.17	18.3	2.37e-4	0.00182
YLR411W	S000004403	CTR3	0.54	7.54	1.38	0.263	0.431
YNL014W	S000004959	HEF3	0.54	0.999	1.81	0.191	0.345
YBR281C	S000000485	DUG2	0.54	6.24	18.7	2.14e-4	0.00166
YPL266W	S000006187	DIM1	0.54	6.3	9.23	0.00599	0.0255
YDL104C	S000002262	QRI7	0.54	2.79	6.04	0.0212	0.0691
YGR283C	S000003515	NA	0.53	4.81	9.38	0.00519	0.0227
YPR041W	S000006245	TIF5	0.53	8.15	23.1	6.06e-5	5.83e-4
YLR129W	S000004119	DIP2	0.53	7.01	23.1	6.04e-5	5.82e-4
YPR138C	S000006342	MEP3	0.53	6.62	16	4.91e-4	0.00333
YNL126W	S000005070	SPC98	0.53	4.96	9.13	0.00594	0.0253
YNL191W	S000005135	DUG3	0.53	5.1	14.4	8.24e-4	0.00504
YNL018C	S000004963	NA	0.53	1.66	1.73	0.201	0.357
YGL064C	S000003032	MRH4	0.53	4.04	7.05	0.0136	0.0487
YIR018W	S000001457	YAP5	0.53	2.75	4.11	0.0533	0.139
YEL053C	S000000779	MAK10	0.53	5.6	15.4	5.99e-4	0.0039
YGR166W	S000003398	TRS65	0.53	4.85	20.3	1.35e-4	0.00112
YNR043W	S000005326	MVD1	0.53	8.4	24.3	4.47e-5	4.56e-4
YPR034W	S000006238	ARP7	0.53	5.68	16.8	3.84e-4	0.00277
YJR078W	S000003839	BNA2	0.53	2.27	1.98	0.172	0.321
YNL301C	S000005245	RPL18B	0.53	8.72	29.8	1.12e-5	1.41e-4
YKR095W-A	S000028512	PCC1	0.52	2.98	4.79	0.0382	0.108
YKL172W	S000001655	EBP2	0.52	6.36	4.36	0.0529	0.138
YGL120C	S000003088	PRP43	0.52	7.27	20.2	1.38e-4	0.00113
YKR097W	S000001805	PCK1	0.52	-0.396	0.492	0.489	0.654
YER145C	S000000947	FTR1	0.52	8.23	11.9	0.00219	0.0113
YEL054C	S000000780	RPL12A	0.52	10.2	22.7	6.87e-5	6.51e-4
YOR115C	S000005641	TRS33	0.52	5	16.4	4.3e-4	0.00303
YPL253C	S000006174	VIK1	0.52	3.34	5.84	0.0233	0.0745
YIR012W	S000001451	SQT1	0.52	6.88	21.3	1.01e-4	8.8e-4
YMR001C	S000004603	CDC5	0.52	5.89	16.9	3.68e-4	0.00267
YPR123C	S000006327	NA	0.52	-0.898	0.174	0.68	0.799
YFR018C	S000001914	NA	0.52	4.53	4.86	0.0392	0.11
YLR409C	S000004401	UTP21	0.52	7.2	20.5	1.24e-4	0.00105
YOL089C	S000005449	HAL9	0.52	4.74	13.3	0.00122	0.00693
YGR040W	S000003272	KSS1	0.52	4.32	11.5	0.00228	0.0117
YOR243C	S000005769	PUS7	0.52	6.75	24.9	3.84e-5	4.03e-4
YNL182C	S000005126	IPI3	0.52	6.34	14.4	8.34e-4	0.0051
YOR112W	S000005638	CEX1	0.52	6.08	20.8	1.17e-4	0.001
YDR019C	S000002426	GCV1	0.52	5.27	10	0.00409	0.0187
YPL064C	S000005985	CWC27	0.52	3.95	7.07	0.0134	0.0484
YCR105W	S000000702	ADH7	0.52	0.0503	0.662	0.423	0.597
YMR204C	S000004817	INP1	0.52	2.62	3.33	0.08	0.187
YDR157W	S000002564	NA	0.52	3.29	4.18	0.0515	0.136
YLR022C	S000004012	SDO1	0.51	5.17	11.4	0.00239	0.0121
YLR243W	S000004233	GPN3	0.51	5.23	20.7	1.18e-4	0.00101
YHR063C	S000001105	PAN5	0.51	5.86	16.4	4.38e-4	0.00305
YDR300C	S000002708	PRO1	0.51	6.27	25.7	3.08e-5	3.38e-4
YPL028W	S000005949	ERG10	0.51	9.9	15	6.9e-4	0.00437
YKL113C	S000001596	RAD27	0.51	4.65	6.95	0.0144	0.0509
YHR196W	S000001239	UTP9	0.51	6.45	10.5	0.00369	0.0172
YHR182W	S000001225	NA	0.51	4.08	11.2	0.0026	0.013
YBL027W	S000000123	RPL19B	0.51	10.5	20.1	1.4e-4	0.00115
YDR123C	S000002530	INO2	0.51	3.48	6.02	0.0214	0.0697
YPR169W	S000006373	JIP5	0.51	6.3	21.4	9.87e-5	8.73e-4
YGL240W	S000003209	DOC1	0.51	2.26	3.12	0.0897	0.202
YEL061C	S000000787	CIN8	0.51	3.93	8.88	0.00632	0.0266
YPL060W	S000005981	MFM1	0.5	2.96	4.34	0.0476	0.128
YIL021W	S000001283	RPB3	0.5	5.98	15.9	5.08e-4	0.00341
YPL183C	S000006104	RTT10	0.5	6.9	19.4	1.75e-4	0.0014
YGR148C	S000003380	RPL24B	0.5	9.89	19.1	1.87e-4	0.0015
YOR216C	S000005742	RUD3	0.5	4.54	5.05	0.0356	0.102
YNL231C	S000005175	PDR16	0.5	6.54	13.4	0.0012	0.00686
YMR059W	S000004663	SEN15	0.5	2.69	5.17	0.0317	0.0939
YJL101C	S000003637	GSH1	0.5	6.88	18.9	1.98e-4	0.00157
YDL136W	S000002295	RPL35B	0.5	9.17	15.7	5.35e-4	0.00356
YML014W	S000004476	TRM9	0.5	4.28	10.3	0.00357	0.0167
YBR299W	S000000503	MAL32	0.5	1.35	0.543	0.469	0.635
YGL145W	S000003113	TIP20	0.5	5.08	8.44	0.00784	0.0314
YHL011C	S000001003	PRS3	0.5	7.48	23.3	5.87e-5	5.68e-4
YDR339C	S000002747	FCF1	0.5	5.18	11.7	0.00211	0.011
YKR043C	S000001751	SHB17	0.5	7.22	30.5	9.67e-6	1.23e-4
YHR154W	S000001197	RTT107	0.5	3.91	7.83	0.00973	0.0374
YFL002C	S000001894	SPB4	0.5	5.49	12.8	0.00147	0.00809
YBR181C	S000000385	RPS6B	0.5	11.1	17.7	2.85e-4	0.00213
YOR207C	S000005733	RET1	0.5	7.18	21.5	9.61e-5	8.57e-4
YGL243W	S000003212	TAD1	0.5	3.47	7.08	0.0134	0.0483
YDL201W	S000002360	TRM8	0.5	5.9	16.9	3.75e-4	0.00271
YMR146C	S000004754	TIF34	0.5	8.56	24.8	3.93e-5	4.11e-4
YNR050C	S000005333	LYS9	0.5	7.66	21.2	1.04e-4	9.08e-4
YGL131C	S000003099	SNT2	0.5	4.32	9.57	0.00481	0.0213
YOL070C	S000005431	NBA1	0.49	4.66	7.26	0.0126	0.0462
YER117W	S000000919	RPL23B	0.49	9.9	11.7	0.00221	0.0114
YGL057C	S000003025	GEP7	0.49	3.2	6.37	0.0183	0.0615
YJR060W	S000003821	CBF1	0.49	3.7	8.11	0.00865	0.0341
YDR524W-C	S000028740	NA	0.49	-0.0644	0.303	0.587	0.733
YHL042W	S000001034	NA	0.49	0.629	0.799	0.38	0.559
YLR300W	S000004291	EXG1	0.49	9.1	18.8	2.08e-4	0.00163
YCR063W	S000000659	BUD31	0.49	1.67	2.15	0.155	0.297
YJL012C	S000003549	VTC4	0.49	8.12	30.3	1.01e-5	1.28e-4
YMR312W	S000004929	ELP6	0.49	5.17	13.8	0.00102	0.006
YNL124W	S000005068	NAF1	0.49	5.32	7.24	0.0127	0.0463
YPR162C	S000006366	ORC4	0.49	4.77	11.9	0.00197	0.0104
YKL042W	S000001525	SPC42	0.49	3.79	6.15	0.0202	0.0667
YHR020W	S000001062	NA	0.49	9	20.2	1.36e-4	0.00113
YNL289W	S000005233	PCL1	0.49	3.78	5.09	0.0331	0.097
YPL088W	S000006009	NA	0.49	5.03	12.4	0.00167	0.009
YHR130C	S000001172	NA	0.49	1.55	1.53	0.228	0.39
YGL008C	S000002976	PMA1	0.49	12.7	8.97	0.0061	0.0258
YHR003C	S000001045	TCD1	0.49	6.05	18.7	2.15e-4	0.00167
YPL217C	S000006138	BMS1	0.49	6.86	13.4	0.00117	0.00673
YKL076C	S000001559	PSY1	0.49	1.35	1.73	0.2	0.356
YDL219W	S000002378	DTD1	0.49	4.32	10.2	0.00375	0.0174
YPL052W	S000005973	OAZ1	0.49	3.85	6.66	0.0161	0.0557
YOR247W	S000005773	SRL1	0.49	9.16	11.5	0.00237	0.0121
YMR142C	S000004750	RPL13B	0.49	10.3	15.9	5.13e-4	0.00343
YHL013C	S000001005	OTU2	0.49	3.83	5.44	0.028	0.0853
YKR077W	S000001785	MSA2	0.49	4.23	7.81	0.0098	0.0376
YDR374W-A	S000113553	WIP1	0.49	1.99	1.68	0.207	0.365
YLR287C	S000004277	NA	0.49	5.52	12.7	0.00151	0.0083
YPL273W	S000006194	SAM4	0.48	8.11	20.4	1.3e-4	0.00109
YPR167C	S000006371	MET16	0.48	2.6	3.57	0.0704	0.17
YBR267W	S000000471	REI1	0.48	5.85	9.97	0.00412	0.0188
YPL112C	S000006033	PEX25	0.48	5.98	14.9	7.05e-4	0.00445
YKR079C	S000001787	TRZ1	0.48	6.38	12.9	0.00141	0.00781
YOR190W	S000005716	SPR1	0.48	0.549	0.959	0.337	0.516
YMR239C	S000004852	RNT1	0.48	4.78	5.99	0.0218	0.0706
YJR012C	S000003773	NA	0.48	2.39	2.91	0.1	0.219
YIL117C	S000001379	PRM5	0.48	-0.225	0.572	0.456	0.623
YOR224C	S000005750	RPB8	0.48	7.18	20.3	1.35e-4	0.00112
YNL104C	S000005048	LEU4	0.48	9.07	13.1	0.0013	0.0073
YDR228C	S000002636	PCF11	0.48	5.35	16.4	4.38e-4	0.00305
YDL216C	S000002375	RRI1	0.48	2.87	4.76	0.0388	0.109
YAL059W	S000000055	ECM1	0.48	5.34	9.14	0.00571	0.0245
YBR275C	S000000479	RIF1	0.48	5.14	8.55	0.00726	0.0297
YML111W	S000004579	BUL2	0.48	5.88	15.5	5.79e-4	0.0038
YCR106W	S000000703	RDS1	0.48	4.01	9.6	0.00474	0.0211
YBR115C	S000000319	LYS2	0.48	7.3	11.4	0.00257	0.0129
YGR078C	S000003310	PAC10	0.48	4.97	13.8	0.00103	0.00604
YNL162W	S000005106	RPL42A	0.48	9.23	16.4	4.34e-4	0.00304
YHR127W	S000001169	NA	0.48	3.99	5.49	0.0273	0.084
YNL224C	S000005168	SQS1	0.47	4.31	6.2	0.0198	0.0655
YER028C	S000000830	MIG3	0.47	2.83	0.781	0.406	0.583
YDL105W	S000002263	NSE4	0.47	2.76	3.46	0.0745	0.178
YKR060W	S000001768	UTP30	0.47	4.45	5.42	0.0283	0.0858
YOL054W	S000005415	PSH1	0.47	4.12	7.18	0.0129	0.0469
YBL018C	S000000114	POP8	0.47	3.44	3.45	0.0751	0.178
YCL026C-B	S000007548	HBN1	0.47	1.03	0.897	0.353	0.53
YMR309C	S000004926	NIP1	0.47	8.6	20.9	1.12e-4	9.69e-4
YML073C	S000004538	RPL6A	0.47	10.1	18.7	2.14e-4	0.00167
YGR204W	S000003436	ADE3	0.47	9.08	13.8	0.00101	0.00597
YMR307W	S000004924	GAS1	0.47	10.9	12.9	0.0014	0.00776
YER102W	S000000904	RPS8B	0.47	9.89	8.27	0.00862	0.034
YFL024C	S000001870	EPL1	0.47	4.44	7.23	0.0125	0.046
YOR048C	S000005574	RAT1	0.47	6.34	15.3	6.2e-4	0.00401
YOR210W	S000005736	RPB10	0.47	4.49	6.49	0.0173	0.0589
YBL004W	S000000100	UTP20	0.47	8.19	14.1	9.12e-4	0.00547
YLR325C	S000004317	RPL38	0.47	8.85	11	0.0028	0.0138
YHR029C	S000001071	YHI9	0.47	2.98	3.94	0.0583	0.149
YIL110W	S000001372	HPM1	0.47	5.75	19	1.93e-4	0.00154
YBL069W	S000000165	AST1	0.47	5.13	10.8	0.00298	0.0145
YJR092W	S000003852	BUD4	0.47	5.6	12.5	0.00161	0.00872
YPL001W	S000005922	HAT1	0.47	5.02	13.3	0.0012	0.00688
YDR113C	S000002520	PDS1	0.47	3.51	5.16	0.0319	0.0942
YKR057W	S000001765	RPS21A	0.47	8.35	10.3	0.00385	0.0178
YIL028W	S000001290	NA	0.46	0.192	0.651	0.427	0.599
YDR395W	S000002803	SXM1	0.46	8.05	22.4	7.48e-5	7.01e-4
YDR246W	S000002654	TRS23	0.46	3.99	7.65	0.0105	0.0397
YNL095C	S000005039	NA	0.46	4.77	3.74	0.0659	0.163
YOL022C	S000005382	TSR4	0.46	5.55	10.8	0.00304	0.0147
YBR164C	S000000368	ARL1	0.46	5.43	17.6	2.97e-4	0.0022
YPR143W	S000006347	RRP15	0.46	4.48	4.09	0.0546	0.142
YDL121C	S000002279	NA	0.46	5.3	8.54	0.00727	0.0297
YGR007W	S000003239	ECT1	0.46	5.56	15.1	6.53e-4	0.00419
YDR324C	S000002732	UTP4	0.46	7.1	18.3	2.41e-4	0.00184
YBR191W	S000000395	RPL21A	0.46	10.2	14	9.52e-4	0.00567
YLR441C	S000004433	RPS1A	0.46	10.7	15.9	5.06e-4	0.00341
YCR107W	S000000704	AAD3	0.46	2.75	2.89	0.101	0.221
YLR397C	S000004389	AFG2	0.46	5.89	8.24	0.00851	0.0337
YPR060C	S000006264	ARO7	0.46	5.61	16.7	4.01e-4	0.00285
YMR019W	S000004621	STB4	0.46	5.42	13.5	0.00112	0.0065
YGR090W	S000003322	UTP22	0.46	8.1	22.6	7.03e-5	6.65e-4
YPL199C	S000006120	NA	0.46	5.04	8.03	0.00895	0.0351
YPR187W	S000006391	RPO26	0.46	7.1	16.4	4.32e-4	0.00304
YDL173W	S000002332	PAR32	0.46	5.19	11.2	0.00261	0.013
YJL019W	S000003556	MPS3	0.45	4.58	10.5	0.00338	0.016
YOR205C	S000005731	GEP3	0.45	4.8	8.66	0.0069	0.0284
YDR068W	S000002475	DOS2	0.45	3.86	3.36	0.0802	0.187
YNL068C	S000005012	FKH2	0.45	5.53	14.5	8.14e-4	0.00499
YMR220W	S000004833	ERG8	0.45	6.85	18.7	2.11e-4	0.00165
YLR170C	S000004160	APS1	0.45	3.6	6.07	0.0209	0.0685
YOR283W	S000005809	NA	0.45	4.94	15.5	5.79e-4	0.0038
YGR034W	S000003266	RPL26B	0.45	9.85	15.6	5.65e-4	0.0037200000000000002
YPL068C	S000005989	NA	0.45	3.27	3.45	0.0749	0.178
YML036W	S000004500	CGI121	0.45	4.39	6.93	0.0143	0.0506
YLR413W	S000004405	INA1	0.45	8.61	3.45	0.0786	0.184
YPR131C	S000006335	NAT3	0.45	4.7	11.9	0.00202	0.0106
