ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YNL103W	S000005047	MET4	-0.0143	5.42	-0.0989	0.922	0.96	-7.71
YOR181W	S000005707	LAS17	-0.0166	5.37	-0.101	0.92	0.95	-7.69
YJL004C	S000003541	SYS1	0.0122	5.05	0.102	0.92	0.95	-7.64
YNL024C-A	S000028698	KSH1	-0.0176	4.14	-0.102	0.92	0.95	-7.44
YPR049C	S000006253	ATG11	0.016	4.28	0.103	0.919	0.95	-7.47
YGR257C	S000003489	MTM1	0.0133	5.15	0.103	0.919	0.95	-7.66
YOR337W	S000005864	TEA1	0.0125	4.94	0.103	0.919	0.95	-7.61
YJL053W	S000003589	PEP8	0.0133	5.34	0.103	0.919	0.95	-7.63
YKR019C	S000001727	IRS4	0.0249	2.7	0.103	0.919	0.95	-7.02
YPL267W	S000006188	ACM1	0.0389	1.77	0.106	0.917	0.95	-6.7
YDR266C	S000002674	HEL2	0.0108	6.76	0.106	0.917	0.95	-7.85
YGL072C	S000003040	NA	0.0567	0.544	0.107	0.916	0.95	-6.35
YIL050W	S000001312	PCL7	-0.021	3.99	-0.107	0.915	0.95	-7.39
YGL143C	S000003111	MRF1	-0.021	3.57	-0.108	0.915	0.95	-7.28
YOL042W	S000005402	NGL1	-0.0141	4.61	-0.108	0.915	0.95	-7.54
YGR014W	S000003246	MSB2	-0.0128	7.55	-0.109	0.914	0.95	-7.87
YLR245C	S000004235	CDD1	-0.0351	2.04	-0.109	0.914	0.95	-6.77
YDR444W	S000002852	NA	-0.016	4.61	-0.11	0.914	0.95	-7.55
YCL056C	S000000561	PEX34	0.0217	2.86	0.111	0.912	0.95	-7.07
YDR056C	S000002463	EMC10	0.0117	5.6	0.112	0.912	0.95	-7.72
YEL072W	S000000798	RMD6	0.0358	2.18	0.112	0.912	0.95	-6.84
YGR217W	S000003449	CCH1	0.0115	5.84	0.113	0.911	0.95	-7.76
YHR035W	S000001077	NEL1	0.0195	3.98	0.113	0.911	0.95	-7.39
YDR535C	S000002943	NA	-0.0774	-0.686	-0.113	0.911	0.95	-6.02
YOR110W	S000005636	TFC7	0.0165	4.72	0.115	0.91	0.95	-7.56
YJL029C	S000003566	VPS53	-0.0119	6.1	-0.115	0.909	0.95	-7.79
YOR172W	S000005698	YRM1	0.0163	5.31	0.116	0.909	0.95	-7.67
YLR074C	S000004064	BUD20	-0.0342	3.71	-0.117	0.908	0.95	-7.09
YMR292W	S000004906	GOT1	0.0202	5.64	0.118	0.907	0.94	-7.73
YLR016C	S000004006	PML1	0.0191	3.73	0.119	0.907	0.94	-7.33
YGL058W	S000003026	RAD6	0.0146	4.99	0.12	0.906	0.94	-7.62
YBL008W	S000000104	HIR1	0.0171	4.73	0.12	0.906	0.94	-7.56
YBL082C	S000000178	ALG3	0.0199	6.64	0.121	0.905	0.94	-7.84
YBL068W-A	S000028530	NA	0.178	-1.39	0.121	0.905	0.94	-5.84
YDR209C	S000002617	NA	-0.078	-0.36	-0.121	0.905	0.94	-6.12
YDR519W	S000002927	FPR2	-0.0153	5.83	-0.122	0.904	0.94	-7.72
YGL129C	S000003097	RSM23	0.0135	6.42	0.122	0.904	0.94	-7.83
YMR236W	S000004849	TAF9	0.0189	4.53	0.124	0.903	0.94	-7.52
YLR405W	S000004397	DUS4	0.0187	4.2	0.125	0.902	0.94	-7.44
YOR133W	S000005659	EFT1	-0.02	13.1	-0.125	0.901	0.94	-7.62
YKL074C	S000001557	MUD2	0.019	4.54	0.126	0.901	0.94	-7.53
YBR103W	S000000307	SIF2	0.0194	4.61	0.126	0.901	0.94	-7.54
YGL094C	S000003062	PAN2	-0.0127	6.62	-0.127	0.9	0.94	-7.83
YKL203C	S000001686	TOR2	-0.0144	6.56	-0.128	0.899	0.94	-7.83
YBR030W	S000000234	RKM3	-0.0167	4.65	-0.128	0.899	0.94	-7.54
YPL097W	S000006018	MSY1	-0.0196	4.96	-0.128	0.899	0.94	-7.62
YOL036W	S000005396	NA	0.013	6.76	0.13	0.898	0.94	-7.83
YOL049W	S000005409	GSH2	0.0137	7.11	0.13	0.898	0.94	-7.86
YML017W	S000004479	PSP2	0.0258	5.01	0.13	0.897	0.94	-7.63
YER008C	S000000810	SEC3	-0.0153	6.82	-0.131	0.897	0.94	-7.85
YPL139C	S000006060	UME1	0.0149	5.74	0.131	0.897	0.94	-7.75
YOR158W	S000005684	PET123	0.0192	5.31	0.132	0.896	0.94	-7.68
YBR066C	S000000270	NRG2	-0.058	0.884	-0.132	0.896	0.94	-6.4
YJL138C	S000003674	TIF2	-0.0452	8.81	-0.133	0.896	0.94	-7.84
YNL122C	S000005066	NA	-0.0262	3.14	-0.133	0.895	0.94	-7.16
YJL049W	S000003585	CHM7	-0.0379	3.07	-0.133	0.895	0.94	-7.13
YGR160W	S000003392	NA	-0.14	-0.0826	-0.134	0.894	0.94	-6.08
YKL143W	S000001626	LTV1	0.0465	3.77	0.135	0.894	0.94	-6.82
YGL212W	S000003180	VAM7	0.0327	2.67	0.135	0.894	0.94	-6.96
YMR137C	S000004745	PSO2	0.0351	2.81	0.135	0.894	0.94	-7.06
YBL067C	S000000163	UBP13	0.0142	6.17	0.136	0.893	0.94	-7.8
YPL096W	S000006017	PNG1	0.0197	3.98	0.136	0.893	0.94	-7.38
YJL216C	S000003752	IMA5	0.0613	1.17	0.137	0.892	0.94	-6.5
YPL034W	S000005955	NA	0.0361	2.72	0.137	0.892	0.94	-7
YGL219C	S000003187	MDM34	-0.0163	5.55	-0.137	0.893	0.94	-7.7
YOR286W	S000005812	RDL2	0.0142	5.86	0.137	0.893	0.94	-7.76
YPR188C	S000006392	MLC2	0.0225	4.48	0.138	0.892	0.94	-7.51
YDL010W	S000002168	GRX6	0.0231	4.69	0.138	0.891	0.93	-7.44
YDL069C	S000002227	CBS1	0.0339	2.71	0.138	0.891	0.93	-7.02
YPR192W	S000006396	AQY1	0.0683	0.0919	0.139	0.891	0.93	-6.22
YPR152C	S000006356	URN1	0.0363	2.99	0.139	0.89	0.93	-7.11
YNL034W	S000004979	NA	-0.0597	1.85	-0.141	0.889	0.93	-6.74
YDR163W	S000002570	CWC15	0.0551	2.25	0.14	0.89	0.93	-6.86
YIL154C	S000001416	IMP2'	-0.0242	4.17	-0.14	0.89	0.93	-7.42
YLR218C	S000004208	COA4	-0.044	2.46	-0.142	0.889	0.93	-6.9
YAL019W	S000000017	FUN30	0.0189	5.94	0.142	0.889	0.93	-7.77
YPL005W	S000005926	AEP3	0.0273	3.63	0.141	0.889	0.93	-7.27
YPR198W	S000006402	SGE1	0.0173	6.24	0.142	0.888	0.93	-7.8
YGR046W	S000003278	TAM41	-0.0198	4.62	-0.143	0.888	0.93	-7.54
YPL181W	S000006102	CTI6	0.0278	4.49	0.143	0.888	0.93	-7.51
YOL151W	S000005511	GRE2	-0.0189	4.79	-0.143	0.887	0.93	-7.55
YMR017W	S000004619	SPO20	-0.115	-0.544	-0.144	0.887	0.93	-6.06
YOR362C	S000005889	PRE10	-0.0123	7.31	-0.144	0.887	0.93	-7.85
YNR006W	S000005289	VPS27	-0.0235	5.24	-0.145	0.886	0.93	-7.66
YOR156C	S000005682	NFI1	-0.0207	4.07	-0.144	0.886	0.93	-7.38
YKL152C	S000001635	GPM1	-0.0167	12.8	-0.145	0.886	0.93	-7.64
YNL277W	S000005221	MET2	-0.0904	1.21	-0.146	0.885	0.93	-6.28
YER088C-A	S000028754	NA	-0.0248	3.71	-0.146	0.885	0.93	-7.31
YNL330C	S000005274	RPD3	-0.0128	6.08	-0.146	0.885	0.93	-7.79
YOR290C	S000005816	SNF2	-0.0174	6.13	-0.147	0.885	0.93	-7.79
YLR285C-A	S000028569	NA	-0.0742	0.857	-0.147	0.885	0.93	-6.43
YPL167C	S000006088	REV3	0.0289	3.47	0.147	0.885	0.93	-7.25
YDR437W	S000002845	GPI19	0.055	1.25	0.148	0.884	0.93	-6.54
YPR176C	S000006380	BET2	0.0249	5.35	0.147	0.884	0.93	-7.69
